Image ID,Extremities Avg Ratio
391895,0.38
522418,0.25
184613,0.16
318219,0.25
554625,0.10
574769,1.00
60623,0.25
309022,0.00
5802,0.38
222564,0.25
118113,0.00
193271,0.00
224736,0.00
483108,0.75
403013,0.00
374628,0.00
328757,0.25
384213,0.00
293802,0.29
86408,0.00
372938,0.54
386164,0.00
223648,0.00
204805,0.02
113588,0.25
384553,0.50
337264,0.00
368402,0.25
12448,0.25
79841,0.00
515289,0.36
562150,0.50
542145,0.00
412151,0.25
579003,0.25
540186,0.00
242611,0.00
51191,0.00
269105,0.00
294832,0.00
462565,0.11
144941,0.00
173350,0.00
60760,0.00
324266,0.00
166532,0.00
262284,0.00
360772,0.00
191381,0.00
111076,0.50
340559,0.00
258985,0.00
509822,0.00
321107,0.50
229643,0.25
125059,0.00
455483,0.50
436141,0.00
129001,0.00
232262,0.00
61181,0.00
166323,0.00
580041,0.00
326781,0.00
387362,0.50
138079,0.00
556616,0.00
472621,0.00
192440,0.00
86320,0.00
256668,0.00
383445,0.00
565797,0.00
81922,0.00
50125,0.00
364521,0.00
394892,0.38
1146,0.25
310391,0.05
97434,1.00
463836,1.00
241876,0.00
156832,0.00
270721,0.00
462341,0.00
310103,0.00
32992,0.00
122851,0.58
540763,0.00
138246,0.00
197254,0.09
32907,0.00
251252,0.00
37675,0.00
159537,0.00
268556,0.38
271177,0.00
75051,0.00
549399,0.00
85160,0.31
559665,0.12
19358,0.00
459912,0.14
15827,0.02
394240,0.10
510755,0.00
175831,0.33
79472,0.00
250108,0.00
315601,0.39
437218,0.00
503707,0.17
74331,0.00
579664,0.00
369763,1.00
199951,0.00
452684,0.00
213687,0.07
108094,0.75
527040,0.00
350341,0.00
550529,0.00
432176,0.00
281533,0.00
369826,1.00
551334,0.25
291380,1.00
368978,0.00
77123,0.00
513681,0.20
437370,0.00
78371,0.00
560623,0.00
289173,0.00
52759,0.08
568623,0.31
128939,0.12
339974,0.00
561100,0.00
150410,0.25
9426,0.00
14869,0.00
281221,0.00
108169,0.00
440575,0.00
354533,0.00
545959,0.00
511058,0.00
91227,0.00
242139,0.00
334321,0.35
381021,0.00
170629,0.30
207797,0.00
179558,0.00
368117,0.00
15085,0.00
467522,0.00
40102,0.00
403020,0.00
6005,0.38
219514,0.00
521634,0.00
125476,0.00
402559,0.00
484816,0.00
165547,0.00
81561,0.00
227125,0.00
189550,0.00
212663,0.07
476005,0.00
505440,0.00
67868,0.00
450263,0.38
241691,0.25
450500,0.29
545293,0.00
232894,0.12
439969,0.00
29913,0.00
410437,0.00
455859,0.50
235302,0.50
431573,0.00
290570,0.00
127474,0.38
28758,0.00
163020,0.00
332654,0.00
281455,0.00
38029,0.13
17756,0.00
380932,0.00
155885,0.00
231408,0.00
305821,0.00
459374,0.00
190056,0.00
176649,0.00
121041,0.00
156397,0.00
173574,0.00
236182,0.00
208589,0.00
334405,0.00
267571,0.00
73830,0.00
158952,0.00
82258,0.00
308599,0.00
351053,0.00
157269,0.25
495612,0.00
95022,0.00
570045,0.00
191501,0.00
216482,0.00
358342,0.00
8665,0.00
125997,0.00
69911,0.00
573291,0.00
322226,0.00
