Image ID,Nombre de personnes détectées,Différence calculée (num-people-dif)
391895,1,0.5
522418,1,0.5
184613,4,0.8
318219,2,0.6666666666666667
554625,5,0.8333333333333334
574769,1,0.5
60623,3,0.75
309022,0,1
5802,2,0.6666666666666667
222564,2,0.6666666666666667
118113,0,1
193271,0,1
224736,0,1
483108,1,0.5
403013,0,1
374628,0,1
328757,1,0.5
384213,0,1
293802,7,0.875
86408,0,1
372938,7,0.875
386164,0,1
223648,0,1
204805,1,0.5
113588,4,0.8
384553,1,0.5
337264,2,0.6666666666666667
368402,1,0.5
12448,1,0.5
79841,0,1
515289,3,0.75
562150,1,0.5
542145,0,1
412151,2,0.6666666666666667
579003,1,0.5
540186,0,1
242611,0,1
51191,0,1
269105,0,1
294832,0,1
462565,2,0.6666666666666667
144941,0,1
173350,0,1
60760,0,1
324266,0,1
166532,0,1
262284,0,1
360772,0,1
191381,0,1
111076,1,0.5
340559,0,1
258985,0,1
509822,0,1
321107,2,0.6666666666666667
229643,1,0.5
125059,0,1
455483,1,0.5
436141,0,1
129001,0,1
232262,0,1
61181,0,1
166323,0,1
580041,0,1
326781,0,1
387362,1,0.5
138079,0,1
556616,0,1
472621,0,1
192440,0,1
86320,0,1
256668,0,1
383445,0,1
565797,0,1
81922,0,1
50125,0,1
364521,0,1
394892,1,0.5
1146,1,0.5
310391,1,0.5
97434,2,0.6666666666666667
463836,1,0.5
241876,0,1
156832,0,1
270721,0,1
462341,0,1
310103,0,1
32992,0,1
122851,3,0.75
540763,0,1
138246,0,1
197254,2,0.6666666666666667
32907,0,1
251252,1,0.5
37675,0,1
159537,0,1
268556,1,0.5
271177,0,1
75051,0,1
549399,0,1
85160,4,0.8
559665,2,0.6666666666666667
19358,0,1
459912,5,0.8333333333333334
15827,1,0.5
394240,1,0.5
510755,0,1
175831,2,0.6666666666666667
79472,0,1
250108,0,1
315601,6,0.8571428571428572
437218,0,1
503707,2,0.6666666666666667
74331,0,1
579664,0,1
369763,2,0.6666666666666667
199951,0,1
452684,0,1
213687,2,0.6666666666666667
108094,2,0.6666666666666667
527040,1,0.5
350341,1,0.5
550529,0,1
432176,0,1
281533,0,1
369826,1,0.5
551334,1,0.5
291380,1,0.5
368978,0,1
77123,0,1
513681,1,0.5
437370,0,1
78371,0,1
560623,0,1
289173,0,1
52759,1,0.5
568623,8,0.8888888888888888
128939,2,0.6666666666666667
339974,0,1
561100,0,1
150410,1,0.5
9426,0,1
14869,0,1
281221,0,1
108169,0,1
440575,0,1
354533,0,1
545959,0,1
511058,0,1
91227,0,1
242139,0,1
334321,3,0.75
381021,0,1
170629,6,0.8571428571428572
207797,0,1
179558,0,1
368117,0,1
15085,0,1
467522,0,1
40102,0,1
403020,0,1
6005,2,0.6666666666666667
219514,0,1
521634,0,1
125476,0,1
402559,0,1
484816,0,1
165547,0,1
81561,0,1
227125,0,1
189550,1,0.5
212663,8,0.8888888888888888
476005,0,1
505440,0,1
67868,0,1
450263,4,0.8
241691,1,0.5
450500,10,0.9090909090909091
545293,0,1
232894,2,0.6666666666666667
439969,0,1
29913,0,1
410437,0,1
455859,6,0.8571428571428572
235302,2,0.6666666666666667
431573,0,1
290570,0,1
127474,2,0.6666666666666667
28758,0,1
163020,0,1
332654,0,1
281455,0,1
38029,2,0.6666666666666667
17756,0,1
380932,0,1
155885,0,1
231408,0,1
305821,0,1
459374,0,1
190056,0,1
176649,0,1
121041,0,1
156397,0,1
173574,0,1
236182,0,1
208589,0,1
334405,0,1
267571,0,1
73830,0,1
158952,0,1
82258,0,1
308599,0,1
351053,0,1
157269,4,0.8
495612,0,1
95022,0,1
570045,0,1
191501,0,1
216482,0,1
358342,0,1
8665,0,1
125997,0,1
69911,0,1
573291,0,1
322226,0,1
161470,0,1
452224,0,1
322654,1,0.5
110196,0,1
564563,0,1
375363,0,1
93201,0,1
155877,0,1
373591,0,1
338948,11,0.9166666666666666
84982,0,1
386146,0,1
325690,0,1
74711,0,1
531854,0,1
15113,0,1
388325,0,1
197461,0,1
144053,0,1
