Image ID, Annotation ID, Person Offset
391895, 202758, 96.82
391895, 1260346, 169.60
522418, 455475, 190.88
184613, 1202318, 23.11
184613, 1236161, 204.05
184613, 1250302, 181.78
184613, 1275450, 207.15
184613, 1280839, 231.17
184613, 1281132, 102.76
184613, 1288242, 120.77
184613, 1289336, 139.17
184613, 1304428, 169.57
184613, 1309365, 71.19
184613, 1676698, 42.92
184613, 1686503, 25.91
184613, 2022171, 236.49
184613, 900100184613, 9.50
318219, 491276, 28.16
318219, 509155, 178.54
554625, 200698, 138.38
554625, 215463, 51.77
554625, 231321, 73.50
554625, 1708274, 26.03
554625, 1726997, 102.25
574769, 201078, 21.17
60623, 504616, 145.28
60623, 527330, 110.38
60623, 2001576, 225.65
5802, 505752, 166.96
5802, 509231, 114.90
222564, 421307, 279.11
222564, 476498, 132.86
483108, 188213, 31.19
328757, 443506, 89.09
293802, 1226531, 9.71
293802, 1288046, 80.44
293802, 1303660, 37.41
293802, 1311740, 17.58
293802, 1314584, 126.86
293802, 1318716, 112.03
293802, 1318940, 63.02
293802, 1327404, 169.91
293802, 1710949, 188.78
293802, 1719753, 118.24
293802, 1728194, 19.73
293802, 2008057, 139.98
293802, 900100293802, 17.00
372938, 431518, 106.86
372938, 523488, 53.05
372938, 525509, 124.69
372938, 530222, 83.79
372938, 538178, 19.38
372938, 538731, 104.28
372938, 1683656, 145.04
204805, 1228478, 167.78
204805, 1236622, 141.82
204805, 1251182, 78.47
204805, 1257035, 1.98
204805, 1266284, 92.26
204805, 1278604, 54.87
204805, 1301953, 36.18
204805, 1303420, 108.09
204805, 1309529, 21.44
204805, 1310374, 16.39
204805, 1316756, 121.01
204805, 1762458, 41.50
204805, 2009815, 86.11
204805, 900100204805, 154.50
113588, 536490, 65.26
113588, 537731, 50.75
113588, 544946, 195.01
113588, 1732433, 60.17
384553, 488194, 8.59
337264, 195511, 47.81
337264, 200872, 111.31
337264, 253627, 50.27
368402, 476223, 68.73
12448, 447669, 0.00
79841, 194417, 127.79
79841, 197749, 223.44
515289, 186261, 6.09
515289, 186750, 89.69
515289, 254162, 305.50
515289, 254429, 162.91
515289, 1252463, 148.38
