Annotation ID,Vis Body Ratio
183020,0.88
183030,0.50
183050,1.00
183057,0.00
183062,1.00
183092,0.64
183103,0.80
183141,1.00
183194,1.00
183218,0.00
183239,0.00
183263,1.00
183277,1.00
183355,0.50
183379,1.00
183503,1.00
183558,0.83
183559,0.67
183648,0.50
183692,1.00
183761,1.00
183775,1.00
183797,0.75
183841,0.75
183924,0.70
183930,0.80
183953,0.83
184042,1.00
184059,1.00
184081,0.71
184134,1.00
184219,1.00
184220,1.00
184262,0.83
184403,1.00
184435,0.55
184459,1.00
184474,1.00
184492,0.89
184516,1.00
184582,0.90
184608,1.00
184642,1.00
184652,0.83
184655,1.00
184685,0.92
184724,0.00
184790,0.00
184845,0.75
184889,1.00
184948,0.00
184958,1.00
184976,0.80
185009,0.00
185040,1.00
185084,1.00
185189,0.67
185206,0.78
185235,1.00
185299,0.92
185347,1.00
185410,0.70
185432,0.75
185437,1.00
185438,1.00
185526,1.00
185544,0.75
185618,1.00
185653,0.00
185676,1.00
185690,1.00
185796,1.00
185890,0.86
185935,1.00
185997,0.00
186144,1.00
186210,1.00
186229,0.70
186261,0.92
186292,0.92
186335,1.00
186349,1.00
186439,0.75
186442,1.00
186445,0.00
186464,0.83
186473,1.00
186578,0.92
186664,0.67
186739,0.90
186750,0.90
186767,1.00
186955,1.00
186959,0.90
186960,0.50
186962,0.91
186986,0.75
187050,1.00
187090,1.00
187121,0.91
187134,0.80
187191,0.60
187218,1.00
187285,1.00
187358,0.92
187425,1.00
187492,0.62
187530,1.00
187583,0.83
187588,1.00
187732,1.00
187735,0.00
187802,0.83
187862,0.82
187922,1.00
187942,0.92
187953,0.90
188136,0.75
188148,0.70
188188,0.90
188213,0.75
188283,0.80
188342,0.00
188347,0.00
188348,1.00
188547,0.78
188570,1.00
188604,0.82
188631,0.75
188666,1.00
188702,0.67
188842,0.00
188856,1.00
188888,0.83
188905,1.00
188929,0.00
188955,0.90
188963,1.00
188987,0.80
189054,0.92
189078,0.58
189080,0.00
189125,1.00
189146,0.88
189191,0.90
189366,0.64
189402,0.00
189417,1.00
189426,0.90
189442,0.00
189457,1.00
189486,0.75
189539,1.00
189636,0.60
189659,0.00
189705,0.29
189709,0.00
189778,0.80
189783,1.00
189791,1.00
189906,0.75
189980,0.80
189982,1.00
190061,0.00
190065,1.00
190077,1.00
190128,1.00
190143,0.83
190157,0.75
190193,1.00
190201,1.00
190247,0.92
190281,0.75
190333,1.00
190393,0.80
190415,0.83
190434,0.00
190466,0.90
190544,1.00
190549,0.56
190581,1.00
190583,0.89
190588,0.00
190646,1.00
190647,1.00
190692,0.80
190736,0.50
190748,0.88
190816,0.57
190867,0.91
190969,0.38
190972,0.00
190974,0.00
191007,1.00
191027,0.92
191039,1.00
191048,0.83
191088,1.00
191235,1.00
191244,1.00
191258,0.70
191333,0.83
191368,0.92
191406,1.00
191437,0.82
191466,1.00
191483,0.75
191511,0.00
191566,0.88
191584,1.00
191603,0.83
191647,0.00
191712,1.00
191768,1.00
191801,1.00
191849,0.75
191874,1.00
191894,0.92
191907,1.00
191993,0.78
191998,1.00
192043,0.60
192122,1.00
192306,0.00
192412,1.00
192503,0.60
192593,1.00
192618,0.70
192646,0.33
192688,0.75
192692,1.00
192756,0.00
192792,0.43
192806,0.83
192860,1.00
192933,0.83
193004,1.00
193010,0.00
193022,1.00
193037,0.80
193131,1.00
193141,1.00
193153,1.00
193160,0.83
193209,1.00
193238,0.75
193268,1.00
193324,0.91
193358,0.00
193363,0.75
193390,0.83
193417,1.00
193453,0.90
193486,1.00
193524,0.50
193545,1.00
193547,1.00
193600,1.00
193636,0.60
193689,0.80
193783,0.88
193807,1.00
193862,1.00
193893,0.80
193905,1.00
193910,0.67
193915,1.00
193950,1.00
193955,1.00
193987,0.88
