Annotation ID,Vis Face Ratio
183020,0.00
183030,0.00
183050,0.00
183057,0.00
183062,1.00
183092,1.00
183103,1.00
183141,0.00
183194,1.00
183218,0.00
183239,0.00
183263,1.00
183277,1.00
183355,1.00
183379,0.00
183503,1.00
183558,0.00
183559,1.00
183648,1.00
183692,1.00
183761,1.00
183775,1.00
183797,1.00
183841,1.00
183924,1.00
183930,1.00
183953,1.00
184042,1.00
184059,1.00
184081,1.00
184134,0.75
184219,1.00
184220,1.00
184262,1.00
184403,1.00
184435,1.00
184459,1.00
184474,1.00
184492,1.00
184516,1.00
184582,1.00
184608,1.00
184642,1.00
184652,1.00
184655,1.00
184685,1.00
184724,0.00
184790,0.00
184845,0.67
184889,1.00
184948,0.00
184958,1.00
184976,1.00
185009,0.00
185040,1.00
185084,1.00
185189,1.00
185206,1.00
185235,0.00
185299,1.00
185347,1.00
185410,1.00
185432,1.00
185437,1.00
185438,1.00
185526,1.00
185544,0.33
185618,1.00
185653,0.00
185676,1.00
185690,1.00
185796,1.00
185890,1.00
185935,1.00
185997,0.00
186144,1.00
186210,1.00
186229,1.00
186261,1.00
186292,0.75
186335,0.00
186349,1.00
186439,1.00
186442,1.00
186445,0.00
186464,1.00
186473,0.00
186578,1.00
186664,1.00
186739,1.00
186750,1.00
186767,1.00
186955,0.00
186959,1.00
186960,1.00
186962,1.00
186986,1.00
187050,1.00
187090,1.00
187121,1.00
187134,1.00
187191,1.00
187218,1.00
187285,1.00
187358,1.00
187425,0.75
187492,1.00
187530,1.00
187583,0.67
187588,1.00
187732,1.00
187735,0.00
187802,1.00
187862,1.00
187922,1.00
187942,1.00
187953,1.00
188136,1.00
188148,1.00
188188,1.00
188213,1.00
188283,1.00
188342,0.00
188347,0.00
188348,1.00
188547,1.00
188570,1.00
188604,1.00
188631,1.00
188666,1.00
188702,1.00
188842,0.00
188856,1.00
188888,1.00
188905,1.00
188929,0.00
188955,1.00
188963,1.00
188987,1.00
189054,1.00
189078,1.00
189080,0.00
189125,1.00
189146,0.50
189191,1.00
189366,1.00
189402,0.00
189417,1.00
189426,0.00
189442,0.00
189457,0.00
189486,1.00
189539,1.00
189636,1.00
189659,0.00
189705,1.00
189709,0.00
189778,1.00
189783,1.00
189791,0.00
189906,1.00
189980,1.00
189982,0.60
190061,0.00
190065,1.00
190077,0.50
190128,1.00
190143,1.00
190157,1.00
190193,1.00
190201,1.00
190247,1.00
190281,1.00
190333,1.00
190393,1.00
190415,1.00
190434,0.00
190466,0.00
190544,1.00
190549,1.00
190581,1.00
190583,1.00
190588,0.00
190646,1.00
190647,1.00
190692,1.00
190736,1.00
190748,1.00
190816,1.00
190867,1.00
190969,1.00
190972,0.00
190974,0.00
191007,1.00
191027,1.00
191039,1.00
191048,1.00
191088,1.00
191235,1.00
191244,1.00
191258,1.00
191333,1.00
191368,1.00
191406,1.00
191437,1.00
191466,1.00
191483,1.00
191511,0.00
191566,1.00
191584,0.00
191603,1.00
191647,1.00
191712,1.00
191768,1.00
191801,1.00
191849,1.00
191874,1.00
191894,1.00
191907,1.00
191993,1.00
191998,1.00
192043,0.00
192122,1.00
192306,1.00
192412,1.00
192503,1.00
192593,0.00
192618,1.00
192646,1.00
192688,1.00
192692,1.00
192756,0.00
192792,1.00
192806,0.75
192860,0.80
192933,1.00
193004,0.00
193010,0.00
193022,1.00
193037,1.00
193131,0.75
193141,1.00
193153,1.00
193160,1.00
193209,1.00
193238,1.00
193268,1.00
193324,1.00
193358,0.00
193363,1.00
193390,1.00
193417,1.00
193453,0.00
193486,1.00
193524,1.00
193545,1.00
193547,0.00
193600,1.00
193636,1.00
193689,1.00
193783,1.00
193807,1.00
193862,1.00
193893,1.00
193905,1.00
193910,1.00
193915,1.00
193950,1.00
193955,0.00
193987,1.00
194070,0.00
194136,1.00
194172,0.00
194226,0.00
194307,0.00
194322,1.00
194328,1.00
194364,1.00
194371,1.00
194390,0.00
194417,0.00
194539,1.00
194624,1.00
194661,0.00
194775,1.00
194781,0.00
194864,1.00
194907,1.00
194960,1.00
194961,1.00
195000,0.00
195133,1.00
195136,1.00
195230,0.67
195239,1.00
195241,1.00
195358,1.00
195420,1.00
195509,1.00
195511,1.00
195543,1.00
195562,1.00
195609,1.00
195612,0.00
195643,1.00
195660,0.00
195702,1.00
195853,1.00
195867,1.00
195875,1.00
195926,1.00
195946,0.00
195955,0.00
195983,1.00
